Consultant,Project,25-Nov-13,02-Dec-13,09-Dec-13,16-Dec-13,23-Dec-13,30-Dec-13,06-Jan-14,13-Jan-14,20-Jan-14,27-Jan-14,03-Feb-14,10-Feb-14,17-Feb-14,24-Feb-14,03-Mar-14,10-Mar-14,17-Mar-14,24-Mar-14,31-Mar-14,07-Apr-14,14-Apr-14,21-Apr-14,28-Apr-14,05-May-14,12-May-14,19-May-14,26-May-14,02-Jun-14,09-Jun-14,16-Jun-14,23-Jun-14,30-Jun-14,07-Jul-14,14-Jul-14,21-Jul-14,28-Jul-14,04-Aug-14,11-Aug-14,18-Aug-14,25-Aug-14,01-Sep-14
quynhtt,11CAM100101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teddyk,11CAM100101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michaelg,13CAM100104H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakrah,13CAM100104H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teddyk,13CAM100103P,5,5,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quynhtt,13CAM100103P,5,5,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michaelg,13CAM100103P,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakrah,13CAM100103P,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhaokis,13CAM100103P,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armansyahl,13CAM100103P,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dilbertoh,13CAM100103P,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fannyk,13CEL100201CR,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,
ekop,13CEL100201CR,5,5,5,5,5,3,3,3,3,3,3,3,3,3,2,2,2,2,,3,,3,,3,,3,,3,,3,,3,,,,,,,,,
arief,13CEL100201CR,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,
cornels,13CEL100201CR,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,
dennyc,13CEL100201CR,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,
sreenivas,13CEL100201CR,,,3,2,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,,,,,
parkerjohnruno,13CEL100201CR,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,
parkerjohnruno,13CEL100201CR,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,
michaelg,13CEL100201CR,,,,3,,,,,,,,,,,,,5,,3,3,3,5,5,3,3,,3,3,2,2,,1,,,,,,,,,
susanto,13CEL100201CR,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,
sivak,13CEL100201CR,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,
teddyk,13CEL100201CR,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,3,,,,,,,,
cakrah,13CGW100101P,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrej,13CGW100101P,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teddyk,13CSY100118,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shilpaj,13CSY100118,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sivak,13CSY100118,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armansyahl,13CSY100118,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dennyc,13CSY100118,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakrah,13CSY100118,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teddyk,12CSY100107,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armansyahl,12CSY100107,,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dennyc,12CSY100107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhaokis,13CAI100201P,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,
sivak,13CAI100201P,,,,,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,,,,,,,,,
?,13CAI100201P,,,,,,3,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,,,,
Armansyahl,13CAI100201P,,,,,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,,,,,,,,,
dilbertoh,13CAI100201P,,,,,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,,,,,,,,,
michaelg,13CAI100201P,,,,,,,5,5,5,5,5,5,2,2,2,2,2,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
andrej,13CAI100201P,,,,,,,,,,,,,,7,7,7,7,7,5,5,3,3,3,3,3,3,3,2,,,,2,,,,,,,,,
shilpaj,13CSY100102,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
sivak,13CSY100103,,,,,,,,,,,3,3,3,1,1,,,1,3,,,,3,,,,,,,,,,,,,,,,,,
cakrah,13CSY100104,,,,,,,,,,,0.5,0.5,,,0.5,0.5,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
